X,Y,OBJECTID,CODIGO_EST,UF,ENTIDADE_R,CORPO_DAGU,AMBIENTE,NU1FOSFORO,ME1FOSFORO,MI1FOSFORO,MA1FOSFORO,SD1FOSFORO,LATITUDE,LONGITUDE
-44.05942,-19.9294199993947,2001,PV020,MG,IGAM,Córrego sem nome,1,3,0.807,0.17,1.29,0.576,-19.92942,-44.05942
-44.05414,-19.914749999395106,2002,PV030,MG,IGAM,Córrego do aterro do Perobas,1,4,0.068,0.04,0.11,0.031,-19.91475,-44.05414
-44.04,-19.889999999395688,2003,PV037,MG,IGAM,Córrego Sarandi,1,4,1.028,0.13,1.94,0.739,-19.89,-44.04
-44.03456,-19.903639999395349,2004,PV045,MG,IGAM,Córrego da Avenida 2,1,4,0.522,0.21,1.01,0.342,-19.90364,-44.03456
-44.05164,-19.876169999396065,2005,PV055,MG,IGAM,Córrego Tapera,1,4,0.088,0.04,0.16,0.055,-19.87617,-44.05164
-44.04431,-19.880669999395948,2006,PV060,MG,IGAM,Córrego Cabral,1,4,0.832,0.37,1.36,0.441,-19.88067,-44.04431
-44.03986,-19.882579999395908,2007,PV065,MG,IGAM,Córrego Cabral,1,4,1.155,0.53,1.83,0.544,-19.88258,-44.03986
-44.03528,-19.878639999396018,2008,PV070,MG,IGAM,Córrego Sarandi,1,4,1.102,0.25,2.96,1.254,-19.87864,-44.03528
-44.01933,-19.8750799993961,2009,PV075,MG,IGAM,Córrego da Luzia,1,4,1.033,0.23,1.46,0.547,-19.87508,-44.01933
-44.01503,-19.873809999396105,2010,PV080,MG,IGAM,Córrego Gandi,1,4,0.61,0.08,0.92,0.391,-19.87381,-44.01503
-44.00633,-19.890609999395668,2011,PV085,MG,IGAM,Córrego Flor Dágua,1,4,1.032,0.64,1.77,0.526,-19.89061,-44.00633
-44.00456,-19.890359999395677,2012,PV090,MG,IGAM,Córrego Ressaca,1,4,1.4,0.79,1.89,0.528,-19.89036,-44.00456
-43.99825,-19.869669999396208,2013,PV105,MG,IGAM,Córrego da Avenida Tancredo Neves,1,4,1.1,0.03,1.93,0.937,-19.86967,-43.99825
-44.0,-19.859999999396482,2014,PV110,MG,IGAM,Córrego Sarandi,1,4,0.882,0.48,1.43,0.398,-19.86,-44
-44.03517,-19.842749999396926,2015,PV125,MG,IGAM,Córrego Bom Jesus,1,4,0.048,0.03,0.06,0.013,-19.84275,-44.03517
-44.03917,-19.847859999396796,2016,PV130,MG,IGAM,Córrego Banguelo,1,4,0.122,0.03,0.29,0.118,-19.84786,-44.03917
-44.03225,-19.850809999396716,2017,PV135,MG,IGAM,Córrego da Avenida A,1,4,0.32,0.13,0.49,0.148,-19.85081,-44.03225
-44.02678,-19.837969999397007,2018,PV140,MG,IGAM,Córrego Xangrilá,1,3,0.67,0.44,0.82,0.202,-19.83797,-44.02678
